Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0400000US51,51,Virginia,3925980,2836913,754410,21653,212513,4256,96235
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0400000US51,51,Virginia,631817,526792,49345,20584,7528,2958,24610
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0400000US51,51,Virginia,7369206,5198638,1530069,20941,441622,5243,172693
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0400000US51,51,Virginia,8001023,5725430,1579414,41525,449150,8201,197303
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0400000US51,51,Virginia,306025,254267,24924,9407,3738,1258,12431
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0400000US51,51,Virginia,3779666,2639613,801657,10559,235359,2723,89755
est72010,"July 1, 2010",female,Female,tothisp,Total,0400000US51,51,Virginia,4085691,2893880,826581,19966,239097,3981,102186
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0400000US51,51,Virginia,332274,278148,24786,11281,3844,1714,12501
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0400000US51,51,Virginia,3607411,2566414,731975,10576,210908,2599,84939
est72010,"July 1, 2010",male,Male,tothisp,Total,0400000US51,51,Virginia,3939685,2844562,756761,21857,214752,4313,97440
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0400000US51,51,Virginia,638299,532415,49710,20688,7582,2972,24932
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0400000US51,51,Virginia,7387077,5206027,1533632,21135,446267,5322,174694
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0400000US51,51,Virginia,8025376,5738442,1583342,41823,453849,8294,199626
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0400000US51,51,Virginia,318991,265502,25603,9611,3870,1271,13134
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0400000US51,51,Virginia,3808079,2649455,806895,10669,244974,2846,93240
est72011,"July 1, 2011",female,Female,tothisp,Total,0400000US51,51,Virginia,4127070,2914957,832498,20280,248844,4117,106374
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0400000US51,51,Virginia,345244,289324,25489,11507,4015,1763,13146
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0400000US51,51,Virginia,3637874,2579019,737524,10776,218992,2760,88803
est72011,"July 1, 2011",male,Male,tothisp,Total,0400000US51,51,Virginia,3983118,2868343,763013,22283,223007,4523,101949
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0400000US51,51,Virginia,664235,554826,51092,21118,7885,3034,26280
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0400000US51,51,Virginia,7445953,5228474,1544419,21445,463966,5606,182043
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0400000US51,51,Virginia,8110188,5783300,1595511,42563,471851,8640,208323
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0400000US51,51,Virginia,331661,276192,26487,9840,4107,1334,13701
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0400000US51,51,Virginia,3834885,2657432,812934,10825,254191,2974,96529
est72012,"July 1, 2012",female,Female,tothisp,Total,0400000US51,51,Virginia,4166546,2933624,839421,20665,258298,4308,110230
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0400000US51,51,Virginia,357587,299893,26275,11696,4187,1818,13718
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0400000US51,51,Virginia,3669289,2592034,743933,10995,226751,2818,92758
est72012,"July 1, 2012",male,Male,tothisp,Total,0400000US51,51,Virginia,4026876,2891927,770208,22691,230938,4636,106476
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0400000US51,51,Virginia,689248,576085,52762,21536,8294,3152,27419
